RoutineNo,Week,Round,DanceCoupleID,TypeOfDance,Song,Score,Result
1,1,1,1,Cha-cha,Who's That Chick?,28,Safe
2,1,1,2,Waltz,Are You Lonesome Tonight?,24,Safe
3,1,1,3,Cha-cha,I've Got The Music in Me,17,Safe
4,1,1,4,Waltz,Angel,20,Safe
5,1,1,5,Cha-cha,Bad Boys,19,Safe
6,1,1,6,Waltz,Three Times a Lady,28,Safe
7,1,1,7,Cha-cha,Venus,21,Safe
8,1,1,8,Cha-cha,Moves Like Jagger,28,Safe
9,1,1,9,Waltz,Weekend in New England,27,Safe
10,1,1,10,Cha-cha,When Love Takes Over,22,Safe
11,1,1,11,Waltz,See the Day,27,Safe
12,1,1,12,Cha-cha,Build Me Up Buttercup,17,Safe
13,1,1,13,Waltz,In Napoli,12,Safe
14,1,1,14,Cha-cha,Gimme Some Lovin,32,Safe
15,2,1,11,Salsa,Higher,29,Safe
16,2,1,12,Foxtrot,Buona Sera,19,Eliminated
17,2,1,4,Salsa,Don't Stop 'Til You Get Enough,23,Safe
18,2,1,10,Foxtrot,Have You Met Miss Jones?,29,Safe
19,2,1,2,Salsa,Upside Down,21,Safe
20,2,1,3,Foxtrot,Breakeven,25,Safe
21,2,1,1,Salsa,Mas Que Nada,30,Safe
22,2,1,9,Salsa,Vehicle,22,Safe
23,2,1,5,Foxtrot,Ain't That a Kick in the Head?,29,Safe
24,2,1,6,Salsa,Jump in the Line (Shake, Senora),28,Safe
25,2,1,14,Foxtrot,Why Don't You Do Right,33,Safe
26,2,1,13,Salsa,Papa Loves Mambo,14,Safe
27,2,1,8,Foxtrot,Just the Way You Are,27,Safe
28,2,1,7,Salsa,Dancing Queen,25,Safe
29,3,1,1,Tango,Cell Block Tango,30,Safe
30,3,1,2,Viennese Waltz,Somebody to Love,24,Eliminated
31,3,1,6,Jive,You Can't Stop the Beat,27,Safe
32,3,1,10,Viennese Waltz,Memory,32,Safe
33,3,1,9,Quickstep,Top Hat, White Tie and Tails,31,Safe
34,3,1,3,Rumba,All I Ask of You,26,Safe
35,3,1,13,Tango,Be Italian,20,Safe
